ace.bible.txt	are.bible.txt	ban.bible.txt	bci.bible.txt	blz.bible.txt	bru.bible.txt	btx.bible.txt	bvr.bible.txt	cab.bible.txt	cac.sansebastian.txt	caq.bible.txt	cat.evangelica.txt	ces.living.txt	cha.2003.txt	chf.bible.txt	chr.bible.txt	crn.bible.txt	cym.colloquial2013.txt	dan.hverdagsdansk.txt	deu.newworld.txt	deu.schlachter.txt	dgi.bible.txt	dgr.bible.txt	dts.bible.txt	dur.bible.txt	eng.common.txt	eng.goodnews.txt	esi.bible.txt	esu.bible.txt	etu.bible.txt	ffm.bible.txt	fin.1992.txt	gag.latin.txt	gle.bible.txt	gug.bible.txt	gvn.bible.txt	gwi.bible.txt	hop.bible.txt	hrv.2000.txt	hun.2003.txt	iba.bible.txt	ibo.bible.txt	inb.bible.txt	ind.firman.txt	isl.bible.txt	jpn.colloquial.txt	jra.bible.txt	kaa.latin.txt	khk.bible.txt	kki.bible.txt	kor.1985.txt	kqs.bible.txt	lem.bible.txt	mad.bible.txt	mak.bible.txt	mcb.bible.txt	mco.bible.txt	mhy.bible.txt	mto.bible.txt	myx.bible.txt	naq.bible.txt	nhg.bible.txt	nhw.bible.txt	nld.2007.txt	nya.bible.txt	pab.bible.txt	pah.bible.txt	pib.bible.txt	poi.bible.txt	prk.bible.txt	qub.bible.txt	quy.bible.txt	ron.2006.txt	run.bible.txt	sme.bible.txt	snf.bible.txt	spa.newworld.txt	srq.bible.txt	tac.bible.txt	tgl.1996.txt	thk.bible.txt	tuk.mukaddes.txt	tur.newworld.txt	uig.latin.txt	vie.bandich.txt	wol.bible.txt	yua.bible.txt	zho.contemp.txt	zho.new.txt	zos.bible.txt
110	peue	iwunha -nga -la	pu- napi awinan -ipun	nzu ti	no- ngko'- upa	ntrớu	e- ng- kai	an- nga nula	cá	tas yuj	kūö yòh	què	proč	håfa	cua '	gado -no	ti'i -taj -ni	beth	hvad	was	was	bʋnʋ ƴãw	ayìı -ha	inge dɛ -i	née	what	what	su -m -man	ca -cetek	jen	ko ɗum	mi -tä	ne	cad	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -t	nama kebuah	gini	ima -pa -tak	meng- apa	hver -s vegna	どう	yua hơgĕt	ne	yuu	chi- o- ni	무엇 -은	le yɛɛ	a- nyí- aátɛ́	a- pon- apa -'a	angng- apa	tya -ra pi- n- kant -aig -ak -e -ri	ti	inun wuah	tya̱jx	shiina	tare -e	tli	tlaque	wat	chiyani	xoare maheta	mara -nu -hũ -rame	klu china -nu	t́i	yuh ka mawx	ima -ta -taj	ima -ta -taq	ce	iki	mii -a -id	tah ya	qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	ne	neme	gì	l- u	ba'ax	為 什麼	為 甚麼	ti
111	peue	ngunha -la -ma	saking d- ija	wan	upa	ntrớu	kai	NA	cá -tei -san	tas	a- suh	quin -a	ko -ho (kdo)	håyi	caxca une	gado	ti'i -taj -ni	pa	NA	welch -er	welch -er	nyɩn 	ayìı	kijɛ inge	ȩn -á	what kind of	what	su -m	qaillun	bhaghé	ho- n- de 	mi -llä	ne	cé an	máva piko	wanju -ndu -mun -du	dee ni -yaa	haki -y	tko (tko)	mi -lyen 	nama	gini	ima -pa -tak	si- apa yang	hvað -a	何	hơgĕt	qan -day	yamar	u- a- ki	무엇 -은	nɛ̀ɛ́ -nɛ̀	háányɛ́	pon- apa	apa saba'na	tya -ni	pɨn	inun	pa̱n	shiina	mâ	tli	tlaque	NA	u- -a- ku- tani	xala	ma'g̃a	klu	i̱	dee mawx	pi -taj	ima	ce	ki	gii -ea -n	ɓa	qué	mbae -rã	ta- chi -ri	ano	kû	haýsy	hangi	qaysi	nào	b- an	ba'ax	什麼	甚麼	jujche -pø
112	soe	ngunha -la	sira	wan	ime	noau	ise	ana- nga	cá	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	ki -a	ki -a	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva	wanju -ngku	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tak	NA	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	pasera	inai	tya -ni -mpa -tyo -ra	ma	hie	pa̱n -e'e	shiina	tari -e	öque -nu	ajqueya	wie	ndani	xala	ma'g̃a	katu	i̱	pui mawx	pi -pa	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri -te	s- ino	n'- ûû	kim	kim	kim	ai	k- u	máax	誰	誰	i -'is
113	peue -kon	iwunha -nga -nta -ma	napi awinan -nya	nzu ti	no- ngko'- upa	nṓq	ng- kai	an- nga nula	cá lan uágu	tas yuj	kūö yòh	per què	proč	sa' håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -ma -nmi	ciin -mi	nan	ko saabii	mi -ksi	ne -çіn	cé an fáth	mba'e -re	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hví	なぜ	yua hơgĕt	ne -ge	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra o- kant -ak -a -ra	nej co	wuah inun	tya̱jx	NA	tare -xa	tli -ca	quenque	waarom	bwa- nji	xoana -re -tya hoka	mara -name	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	tah ya	por qué	mbae -rã	chu -ri -gá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
114	toh	NA	sane encen -ke	ônin	koi upa	a- léq	apai	gun- nga	cá -tei -san	'aja	öp yòh öp	quin	který -é	håfa na	camba	gado usdi	ti'i -taa -ni	pa un	hvilk -et	welch -es	welch -es	buor	ayìı	yago -i	tɛ́ -lá	which	which	nalli -at	nali -at	bhaghé	ho- n- de	mi -kä	angı	cé an	máva -pa	wanji -nyaku	jidii	himu -wa (himu)	koj -a	mely -ik	ni	òle 	maikan -tak	mana -kah yang	hver -t 	ど -れ	pă	qay -sı	yamar	di- hoki	어느	ɔ́ɔ̀	háányɛ́	ka'- imma	kere -anga	tya -ti -tyo -ra	huɨdi -bɨ	awe	juu' -s	naanu	mâ -sa	cötl -aja	tlaque	wat	li- ti	xoare	ma -namo	giru -ni	jup -pɨc	yuh ka mawx	may -ga -n -taj	mayqan -taq	care	iri- he	guhte -muš	y- iida	cuál	ma	ta- chi -ri	alin	rî- rîkû	haýsy	hangi -si -dir	qaysi	nào	b- an	máacalmáac	哪 一	哪 一	jutipø
115	peue -kriban	nthakinha	apa krana -ne	o yô se	no- ngko'- upa	nṓq	uga	an- nga nula	ída	NA	sitih	com	če -ho (co)	håfa tai- månu na	cua uc'a	gado -no	NA	pam	hvor -dan	wie -so	wie	ŋmɩŋ -mɩn	dànì -ghǫ	yani	née	why	how	NA	qaillun	jen é- yími kən	hono	kuinka	ne -çіn	conas	mba'e -re piko	NA	dee ginyąą	hin -ta -qw	kako	hogy -an	baka ni	aṅa	ima -pa -tak	apa sebabnya	hvernig	どう -して	hyư̆m	qalay -ın -sha	yaa -g -aa -d	NA	왜	le yɛɛ	anyána	baramma	antekamma	tya -ra o- kant -ak -a -ra	na'amy	kala awe	vintso̱ -s -e'e	shiina	mati	quiene	para tlen	hoe	bwa- nji	aliyakere -ya	mara	gi	t́iiga	yuh ka mawx	ima	imayna -npi -taq	cum	ba- te	mo	na	cómo	mbae -rã	cho -ni -gá	bakit	n'- ata	nädip	nasıl	qandaq	thế nào	l- u tax	bix	為 什麼	怎麼	ti -cøtoya
116	peue -kriban	nthakinha -nta -ma	kenken	o yô se	koi upa	nṓq	uga	NA	ída	NA	aṅ- yih	de on	jak	håfa tai- månu na	cache' -da	gado -no	a'i -qui	NA	hvor -dan	wie	wo -her	ŋmɩŋ -mɩn	dànì t'à	yani	née	how	NA	qanuq -łuni	qaillun	nan	hono	kuinka	nasıl	cad	mba'e -icha piko	wanyu -rri -nku	nats'ahts'ą'	hin	kako	hogy -an	baka ni	òle ebe	ima -wan -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay -ın -sha	yaa -j	nhani	어떻 -게	vɛɛ	anyána	baramma	antekamma	tya -ra i- n- kant -ak -empa -ra	nej co	NA	NA	ba- rye ena	mati -b	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	NA	gi r- gixpoko -ta -ya -waka	jutsa̱p	yuh ka mawx	imano -pa -taj	imayna -taq	cum	he he	mo	na	cómo	mbae -rã	'la -cha	pa- ano	n'- ata	nähili	nasıl	NA	thế nào	naka	NA	怎	怎麼	jujche
117	peue 	nthakinha	pu- napi	NA	upa	ntrớu	kai	gun- nga	cá -ba -san	tas	a- suh	quin	jaký -é	håfa na	cache' -da	gado	ti'i -taj -ni	NA	NA	was	welch -es	buor	ayìı	inge	ȩn -á	what	what	su -na	ca	bhaghé	ho- mo	mi -kä	ne	cé an	mba'e -icha -pa	wanjarr -mal	NA	himu (himu)	koj -im	mi	NA	gini	ima -wa -tak	NA	hver -t 	ど -んな	hơgĕt	qan -day	yamar	chi- o- ni	무엇 -입니까	ɔ́ɔ̀	yaátɛ́	pon- apa	apa	tya -ti -rika -ra	ti	inun	ti	liina	mâ -i	tli	tlaque	hoe	chi- -a- ku- tani	xoare	mara -va'ea	klu	jup	yuh ka mawx	imano -pa -taj	imayna -má	care	c'- iki- he	mii	w- iida	qué	mañɨ	chu -ri -gá	ano	mbi	nähili	ne	qandaq	nào	l- u -y	ba'ax	什麼	甚麼	ti -'is
118	NA	iwunha -nga -la	nguda	ônin	upa	nṓq	e- ng- kai	an- nga nula	cá -me -san	tas yuj	a- suh	per què	če -mu (co)	håfa	cua ' uc'a	gado -no	a'i -ni een cɨn	NA	NA	wo -zu	wo -zu	bʋ̃ʋ	ayìı -ha	inge -i	tɛ́ -lá	why	what	su -m -man	ciin	jen é- yími kən	ko ɗum	millai -sta	ne	cé an fáth	mba'e -rã piko	wanyu -rri -nku	jaghaii	hinoqw	če -mu (što)	mi -re	nama kebuah	gini	ima -pa -tak	NA	til hver -s	なん	yua hơgĕt	ne -ge	yuu -n -d	nhani	무엇	le yɛɛ	aátɛ́	apa	apa	antari gara	nej	inun	tya̱jx -ts	shiina	mâ -s	tli para	quenque	wat	chifukwa ni- nji	xoare maheta	mara -nu -hũ -rame	klu china -nu	t́iiga	yuh ka mawx	ima -pa -raj	ima -na -sqa -taq	ce	iki	manne	ya	por qué	mbae -rã	cho -ni -gá	bakit	kî	näme üçin	neden	neme	tại sao	l- u	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
119	keu- peue	iwunha -nga -la	nguda	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá uágu	tas yuj	kūö yòh	per què	proč	håfa na	NA	gado -no	a'i -ni een cɨn	pam	hvor -for	warum	warum	bʋnʋ ƴãw	ayìı -ha	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko saabii	mi -ksi	ne -çіn	cé an fáth	mba'e -rã piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hvað	なぜ	yua hơgĕt	ne -ge	yuu -n -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	NA	nej co	wuah inun	tya̱jx -s -e'e	shiina	tare -xa	tli -ca	quenque	waarom	mu- mbvuti- ra- nji	xoana -re hoka	mara -nu -hũ -rame	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce -i	iki	manne	ya	por qué	mbae -rã	NA	bakit	mbi	näme üçin	neden	neme	tại sao	l- u tax	ba'ax ten	何 必	為 甚麼	ti -'ajcuy
120	di- pat	nthanha -ma	d- ija	nin	m- aana	n- léq	apai	yina gun- gaya	ja -goún	'aj -til	i- suh	on	kde	månu na	cax- cada	harv	a'u -ni	ble	hvor	wo	wo	nyɩn 	edı̨į̀	yago	tɛ́ -lá	where	where	su -mi -it -pa	na -ni	NA	ho- n- du	mi -ssä 	nere -da	cá	máva -pa	wanja -ku	nijin	haqam	koj -oj	hol	di- ni	òle ebe	maikan	NA	hvar	ど -こ	pơ pă	qa'- ne	haa -na	hoki	NA	kuɛɛ	háányɛ́	ka'- imma	kere -mae	tya -rika	ma	hang awe	joma	wahe ena	mapa	cöne	canque	waar	ku- ti	aliyo -ako 	mome	ginaka -lu	ju̱t́	dee mawx	may -ga -n	mayqan	unde	he he	gos	w- aa gada	dónde	ma	ko- che	NA	NA	nire -de	nere -de	qe -yer -de	ở đâu	ana	tu'ux	哪 裡	哪 裡	jut
121	soe	ngunha -la -nta -ma	nyen	wan	ime	noau	ise	ana- nga	cá -ba -san	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -ta -qui	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	NA	ki -a	ki -a	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva -pa	wanju -ngku	juu	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -sik	bagai- mana	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	s- apa	inai -mo	tya -ni -rika -ra -tyo	pɨn	hie	pa̱n -ts	shiina	tari -e	öque -nu	ajqueya	NA	ndani	xala -ite	ma'g̃a	katu -maka -la	i̱	pui mawx	pi -raj	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim	ai	k- u	máax	誰	誰	i -'is
122	peue -kriban	nthakinha -nta -ma	sapu- napi	o yô se	koi upa	nṓq	kai	ngu- yinmiya	ída	tas	sitih	com	jak	tai- månu	cache' -da	gado -no	a'i -ni	sut	NA	wie	wo -an	ŋmɩŋ -mɩn	ayìı	yani	née	how	how	qanuġ -lugu	qaillun	nan	hono	mi -stä 	ne -dan	conas	mba'e -icha piko	wanjarr -ku	nats'ąą	hin	če -mu (što)	mi -ből	baka ni	òle 	ima -sa -tak	bagai- mana	af hver -ju	どう -して	hyư̆m	qay -aq -tan	her -hen	nhani	어떻 -게	vɛɛ	aátɛ́	kadi pon- apa	antekamma	tya -ra no- n- kant -ak -empa -ra	nej	kala awe	vintso̱ -s	naanu	mati	tli	quenicatza	NA	chiyani	aliyakere -iya	mara	gi	jutsa̱p	yuh ka mawx	imano -pa -taj	imayna -ta -taq	ce	n'- iki	mo	na	cómo	mañɨ	chu -ri -gá	pa- ano	n'- ata	nähili	nasıl	neme -din	làm sao	n- an	bix	如 何	怎麼	jutznøm -ø
123	peue -kriban	nthakinha -nta -ma	a- sapu- napi -ke	o yô se	koi upa	nṓq	uga	gu- yinmiya	ída	chajtl	sitih	com	jak	tai- månu	cache'	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn na	dànì	yani	née	how	how	qanuġ -luni	qaillun -mi	nan	hono	mi -ten	ne -soy	conas	mba'e -icha piko	wanjarr -ku	nats'ahts'ą'	hin	kako	hogy -an	baka ni	aṅa	ima -sa -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	kadi pon- apa	antekamma	tya -rika	nej	kala awe	vintso̱ -s	i- ndye- ena	mati -s	quiene	quenicatza	hoe	bwa- nji	aliyakere	ma	gi r- gixpoko -ta -nu	jutsa̱p	yuh ka mawx	imano -pa -taj	imayna -taq	cum	bi- te	mo	na	cómo	mañɨ	'la -cha	pa- ano	ata	nähili	nasıl	qandaq -mu	làm sao	naka	bix	怎麼	怎	jutznøm
124	keu- peue	nthakinha -ma	kenken	nzu	upa	nṓq	kai	an- guyinmiya	cá -tei -bei funa -san	tas	tö- sitih	què	co (co)	håfa	camba	gado usdi 	ti'i -ta -qui	beth	hvad	was	was	ŋmɩŋ -mɩn	ayìı	inge	nɛ́n -ná	what	what	qanutun	ca -u -qatar -ta	bhaghé é- kpak	ko ɗum	mi -kä -hän	kіm	cad	mba'e	wanjarr -mal -ku -da	jidii	hin	što (što)	mi	nama -ka	gini	ima -sik	apa	hvað	ど -んな	hyư̆m	kim	yuu	nhani	어떻 -ㄴ	yɛɛ	aátɛ́	apa	apa -i	tya -rika -tyo i- n- kant -an -ak -empa -ra	ti	inun	vintso̱	i- ndye- ena	tare -e	öque -nu	tlaque	wat	u- -a- ku- tani	xoana -halan -ite	NA	gi	t́i	yuh ka mawx	ima	ima -raq	ce	ki	mii	ɓa -e	qué	mañɨ	ta- chi -ri	ano	ûû	kim	ne	qandaq	sao	n- u	máax	怎樣	怎樣 的	ti
125	keu- peue	iwunha -nga -ma	apa	nzu ti	no- ngko'- upa	nṓq	ng- kai	nyi- yinmiya -na	cá -me	tas	pò yòh 	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -dan	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	ȩn	why	why	su -m -man	ciin	jen	ko saabii	mi -ksi	ne -çіn	cad chuige	mba'e -re piko	wanyu -rri -nku	dee ni -'in	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hví	どう -して	hyư̆m	ne -ge	yuu -n -d	nhani	무엇 -은	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	antari gara	nej co	wuah inun	tya̱jx -ts	shiina	tare -xa -ts	tli -ca	quenque	waarom	u- -a- chiti- ra- nji	xoana hoka	mara -name -hũ	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -má	de ce	iki catumye	mo	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	mbi n'ûntû	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
126	keu- peue	iwunha -ka -la	napi awinan	nzu ti	no- ngko'- upa	ntrớu	e- ng- kai	an- nga nula	cá -gi uágu	tas yuj	sitih	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	wie	was	bʋnʋ ƴãw	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	qanuq	ciin	jen	ko ɗum waɗi	mi -tä	ne -çіn	cad chuige	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hver -s vegna	どう -して	yua hơgĕt	ne -ge	yuu -n -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	angng- apa	tya -ra o- kant -ak -a -ra	na'amy	wuah inun	tya̱jx -s	lwa- shiina	tare -xa	tli -ca	quenque	NA	bwa- nji	xoana hoka	mara -name	klu china -nu	t́iiga -s	NA	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	ya	por qué	mbae -rã	cho -ni -gá	bakit	mbi	näme üçin	ne	neme	sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
127	soe	ngunha -la -ma	nyen	wan	ime	NA	ise	ana- nga	cá	mach	a- chīö	qui	NA	håyi	caxca	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	dànı -t'à	aa	nóo	who	who	NA	ki -a	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva piko	wanju -ngku	NA	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tak	NA	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	s- apa	inai	tya -ni -mpa -tyo -ra	pɨn	hie	NA	lwa- shiina	tari -e	öque -nu	ajqueya	wie	ndani	xala	mara -name	katu	i̱	mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	NA	chie -ri	s- ino	n'- ûû	NA	kim	qandaq	ai	k- u	máax	誰	誰	ti -'ajcuy
128	peue	nthakinha -nta -ma	pu- napi -ke	nzu	upa	ntrớu	kai	nyi- burr- yinmiya	cá -tei -ti	tas	sitih	què	co (co)	håfa	cua '	gado	a'i -ni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts' -ı̨ı̨	kijɛ inge	nɛ́n -ná	what	what	qanuġ -niaq -pisa	qaillun	nan	ko ɗum	mi -tä	ne	cad	mba'e piko	wanjarr -mal -da	dee gwehee -yaa	hinh -to -ti -ni	što (što)	mi -t	nama	gini	ima -tak	apa yang	hvað	何	hơgĕt	ne	yuu	nhani	어떻 -게	yɛɛ	anyána	pon- apa	apa	tya -ra -tyo no- n- kant -aig -ak -empa -ra	ti	inun	ti -s -e'e	naanu	tare -e	tli	tlaque	wat	chiyani	xoare	mara	klu	t́i	yuh ka mawx	ima -ta -taj	ima -ta -taq	ce	du- te	mii -a -id	ya	qué	mbae	cho	ano	n'- ata	näme	ne	qandaq	gì	l- an	ba'ax	怎麼	甚麼	jujche
129	peue	nthakinha	pu- napi -ke	nzu	upa	ntrớu	kai	nyi- burr- yinmiya	cá	tas	sitih	què	co (co)	håfa	cua '	gado	a'i -ni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts' -ele	inge	nɛ́n -ná	what	what	qanuġ -niaq -pisa	qaillun -mi	nan	ko ɗum	mi -tä	ne	cad	mba'e piko	wanjarr -mal -ku -da	dee gwehee -yaa	hinh -to -ti -ni	što (što)	mi -t	nama	gini	ima -tak	bagai- mana	hvað	何	hơgĕt	ne	yaa -h	nhani	무엇 -을	yɛɛ	anyána	pon- apa	apa	tya -ra -tyo no- n- kant -aig -ak -empa -ra	ti	inun	ti -s -e'e	khu- rye ena	tare -e	tli	tlaque	hoe	chiyani	xoare	mara	klu	t́i	yuh ka mawx	ima -ta -taj	ima -ta -taq	ce	du- te	mii -a -id	ya	qué	mbae	chu -ri -gá	ano	n'- ata	näme	ne	qandaq	NA	l- u	ba'ax	怎麼	甚麼	jujche
130	peue 	nthakinha -la	pu- napi -ke	nzu	upa	ntrớu	kai	nyi- burr- yinmiya	cá -gi	tas	sitih	què	co (co)	NA	cuaxca	gado	a'i -ni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts' -ele	inge	nɛ́n -ná	what	what	NA	qaillun	nan	ko ɗum	mi -tä	ne	cad	mba'e	wanjarr -mal -da	dee gwehee -yaa	hinh -to -ti -ni	što (što)	mi	nama	gini	ima -tak	NA	hvað	何	hơgĕt	ne	yaa -h	nhani	무엇 -을	yɛɛ	anyána	pon- apa	apa	tya -ra -tyo no- n- kant -aig -ak -empa -ra	ti	inun	ti -s -e'e	NA	tare -e	tli	NA	hoe	chiyani	xoare	mara	klu	t́i	yuh ka mawx	ima -ta -taj	NA	ce	du- te	mii -a -id	ya	qué	mbae	chu -ri -gá	ano	n'- ata	näme	ne	qandaq	gì	NA	ba'ax	NA	甚麼	jujche
131	NA	NA	NA	nzu	NA	ntrớu	uga	gun- nga	cá -tei -san	tas	tö- sitih	quin -a	co (co)	håfa na	cua '	gado usdi	ti'i -taa -ni	beth	hvilk -en	was für	was für	bʋ̃ʋ	NA	inge	moo ȩn -á	what kind of	what kind of	su -na -una	ca -u -ga	bhaghé	ko	mi -tä	ne -dіr	cad é mar	mba'e -icha -gua	wanyu	nats'ahts'ą'	NA	kakav -e	mi -lyen 	nama	gini	ima	apa -kah yang	hvað -a	なん -と	hơgĕt	ne	yuu -n	ya- a- ki	어떻 -게	yɛɛ	NA	NA	NA	tya -rika -tyo i- kant -ak -a	ti	NA	ti	shiina	tare -be	tli	tlaque	NA	u- -a- ku- tani	xoare -hare	mara -name	klu	t́i -apaap	yuh ka mawx	ima	ima -taq	ce	ki	makkár	ya -e	qué clase de	NA	chu -ri -gá	ano	bû- rîkû	nähili	nasıl	neme -degen	gì	NA	ba'ax	怎麼	怎麼	ti -yø
132	soe	ngunha -ma	nyen	wan	ime	noau	ise	ana- nga	cá -tei -san	'aj	a- chīö	qui	jak	håyi	NA	gago	a'a -ta -qui	pwy	hvad	wer	wer	ãa	amìı	aa -i	nóo	who	who	ki -ña -una	ki -na	bhaghé é- nê	ho- mo	mi -kä	kіm -dіr	cé	máva piko	NA	juu	haki -ø -ni -h -qe	tko (tko)	ki -csoda	s- apa	ònye 	pi -sik	si- apa	hver	何 -者	hlơi	kim	hen	nani	누구 -ㄴ데	yɛɛ	aányɛ́	s- apa	inai	tya -ni -mpa -tyo -ra	NA	hie	pa̱n -ts	shiina	tari -ba	öque -ni -ji	ajqueya	NA	ndani	xala	mara -nu -hũ	gi	i̱ -apaap	mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	NA	chie -ri	s- ino	NA	kim	kim	kim -dur	ai	k- an	máax	誰	誰	i -pø
133	peue -kon	iwunha -nga -la	napi awinan -ipun	nzu ti	no- ngko'- upa	nṓq	kai	an- nga nula	cá uágu	tas yuj	a- suh	què	NA	håfa na	cua ' uc'a	gado	a'i -ni	pam	hvor -for	was	was	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko ɗum waɗi	mi -tä	ne	cad chuige	mba'e -re -pa	wanyu -rri -nku	jaghaii	hihta (himu)	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	apa sebabnya	hvað	何	yua hơgĕt	ne -ge	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra pi- kant -aig -ak -a -ra	ti	wuah inun	tya̱jx -ts	naanu	tare	tli	para tlen	wat	chiyani	xoana -re hoka	mara -name -hũ	NA	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	ibi- ki	mii -a -id	tah ya	qué	mbae -rã	cho -ni -gá	bakit	mbi n'ûntû	näme üçin	ne -ler	neme uchun	tại sao	l- u tax	ba'ax	為 什麼	為 甚麼	ti -'ajcuy
134	peue -kon	iwunha -nga -la	napi awinan	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá san uágu	tas yuj	pò yòh 	per què	co (co)	håfa na	cua ' uc'a	gado -no	a'i -ni	pam	hvor -for	warum	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko saabii	mi -ksi	ne -çіn	cad chuige	mba'e -re piko	NA	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	NA	hví	なぜ	hyư̆m	ne -ge	yuu -n -d	nhani	어찌 -하여사	le yɛɛ	a- nyí- aátɛ́	NA	angng- apa	tya -rika -tyo pi- kant -aig -ak -a -ra	ti	wuah inun	tya̱jx -ts	NA	tare -xa	tli -ca	quenque	NA	mu- chiti- ra- nji	xoana hoka	NA	klu china -nu	t́iiga	pa tix	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki gitumye	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
