ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
41010017	peue	nthakinhama	napi	nzu	upa	ntrớu	kai	ngu-yinmiyapa	cásan	tas	asuh	què	co	håfa	cua'	gado	ti'itajni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	née	what	what	sumik	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	wanjarrmal	deeshi'yaa	hihta	što	mit	nama	gini	imasatak	apa yang	hvað	何	hơgĕt	ne	yuu	nhani	무엇을	yɛɛ	anyána	ponapa	apa	tyara nonkantakempa	ti	inun	tis	muryeena	tare-e	tli	tlaque	wat	chiyani	xoareya	marãva'ea	klu	t́i	yuh ka mawx	imatataj	imatataq	ce	iki	maid	na	qué	mbae	tachiri	ano	n'ata	näme	ne	qandaq	gì	lu	ba'ax	什麼	甚麼	ti
41010026	soe	ngunhanhantama	nyenke	wan	ime	noau	ise	ana-nga	cáteiti	macht	achīö	qui	NA	håyi	caxca une	gagoge	ai ta'uj	NA	hvem	wer	wer	ãa	amìı	aai	nóo	who	who	kiñaasiiñ	kina-kiq	énê	homo	kuka	kіm	cé	máva piko	wanju	juu dee	hak	tko	kicsoda	sapa	onye	pisik	siapakah	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	sapa	inaimi	tyanimpatyora	pɨnjäy	hie	pa̱nts	lwashiina	tari-e	öquenu	ajqueya	wie	ndani	xalaiya	ma'g̃a	katu	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	NA	kim	kim	kim	ai	ku	máax	誰	誰	i
41010036	peue	iwunhakantama	apa	nzu	upa	ntrớu	kai	an-nga	cági	tas	asuh	què	co	håfa	cua'	gadono	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	kijɛ inge	ȩná	what	what	sumik	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	wanjarrmal	deesho'ya'	hihta	što	mit	nama	gini	imatak	apa	hvað	何	hơgĕt	ne	yuu	choni	무엇이냐	yɛɛ	asana a yaátɛ́	apa	apa	tatatyo	ti	inun	tise'e	naanu	tare-e	tli	tlaque	wat	chiyani	xoare	gara pe	kluneru	t́i	patix	imata	imatataq	ce	iki	maid	ya	qué	mbae	NA	ano	n'ata	näme	ne	neme	NA	lu	ba'ax	什麼	甚麼	ti
41010051	peue	iwunhangala	apa	nzu	upa	ntrớu	kai	ngu-yinmiya	ca	tas	asuh	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	ȩná	what	what	sutquvich	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	wanjarrmanka	deesho'ya'	hintsanniqat	što	mit	nama	gini	imatak	apa yang	hvað	何	hơgĕt	ne	yuu	choni	무엇이냐	yɛɛ	aátɛ́	apa	apa	tata	ti	inun	tise'e	shiina	tare-e	tli	tlaque	wat	chiyani	xoare	gara	klu	t́i	patix	imata	imatataq	ce	iki	maid	ya	qué	mañɨ	tachiri	ano	n'ata	näme	ne	neme	gì	loo	ba'ax	什麼	甚麼	ti
41011003	peusabab	iwunhangala	NA	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca lan uágu	tas yuj	kūöyòh	per què	co	håfa na	cua' uc'a	gadono	a'ini een cɨn	beth	hvad	warum	warum	bʋnʋ ƴãw	ayìı gha	inge dɛi	ȩn	why	why	summan	ciin	jen é yími kən	ko	miksi	neçіn	cad	maerãpa	wanjarrmalmal	jaghaii	hinoqw	što	miért	nama kebuah	gini	imapatak	apa yang	hvers vegna	なぜ	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	arapa	apa saba'na	tyara pinkantaigakeri	na'amy	wuah inun	tya̱jxe'e	shiina	tarexa	tlica	para tlen	waarom	bwanji	xoare maheta	maraname	klu chinanugkoshpiroklu	t́iiga	patix	imapätaj	imapaqtaq	de ce	iki	manne	ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	ne	nemixqa	tại sao	lu	ba'axten	為什麼	為甚麼	ticøtoya
41011005	peue	iwunhangala	punapi awinanipun	nzu ti	nongko'upa	ntrớu	engkai	an-nga nula	ca	tas yuj	kūöyòh	què	proč	håfa	cua'	gadono	ti'itajni	beth	hvad	was	was	bʋnʋ ƴãw	ayìıha	inge dɛi	née	what	what	summan	cacetek	jen	koɗum	mitä	ne	cad	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	mit	nama kebuah	gini	imapatak	mengapa	hvers vegna	どう	yua hơgĕt	ne	yuu	choni	무슨	le yɛɛ	anyíatɛ́	aponapa'a	angngapa	tyara pinkantaigakeri	ti	inun wuah	tya̱jx	shiina	tare-e	tli	tlaque	wat	chiyani	xoare maheta	maranuhũrame	klu chinanu	t́i	yuh ka mawx	imatataj	imatataq	ce	iki	maid	tah ya	qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	ne	neme	gì	lu	ba'ax	為什麼	為甚麼	ti
41011028a	peue	ngunhalama	saking dija	wan	upa	ntrớu	kai	NA	cáteisan	tas	asuh	quina	koho	håyi	caxcone	gado	ti'itajni	pa	NA	welcher	welcher	nyɩnɛ	ayìı	kijɛ inge	ȩná	what kind of	what	sum	qaillun	bhaghé	hende	millä	ne	cén	máva piko	wanjundumundu	deeni'yaa	hakiy	tko	milyen	nama	gini	imapatak	siapa yang	hvaða	何	hơgĕt	qanday	yamar	waki	무슨	nɛ̀ɛ́-nɛ̀	háányɛ́	ponapa	apa saba'na	tyani	pɨn	inun	pa̱n	shiina	mâ	tli	tlaque	NA	wotani	xala	ma'g̃a	klu	i̱	dee mawx	pitaj	ima	ce	ki	gean	ɓa	qué	mbaerã	tachiri	ano	kû	haýsy	hangi	qaysi	nào	ban	ba'ax	什麼	甚麼	jujchepø
41011028b	soe	ngunhala	sira	wan	ime	noau	ise	ana-nga	ca	mach	achīö	qui	kdo	håyi	caxcone	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	kia	kia	énê	homo	kuka	kіm	cé	máva	wanjungku	juu	hak	tko	ki	sapa	ònye	pitak	NA	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inai	tyanimpatyora	ma	hie	pa̱ne'e	shiina	tari-e	öquenu	ajqueya	wie	ndani	xala	ma'g̃a	katu	i̱	pui mawx	pipa	pitaq	cine	nde	gii	ɓa	quién	aba	chiérite	sino	n'ûû	kim	kim	kim	ai	ku	máax	誰	誰	i'is
41011031b	pakon	iwunhangantama	napi awinannya	nzu ti	nongko'upa	nṓq	ngkai	an-nga nula	ca lan uágu	tas yuj	kūöyòh	per què	proč	sa' håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summanmi	ciin-mi	nan	ko saabii	miksi	neçіn	cén fáth	mba'ére	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantakara	nej co	wuah inun	tya̱jx	NA	tarexa	tlica	quenque	waarom	bwanji	xoaneretya hoka	maraname	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	igiki	manne	tah ya	por qué	mbaerã	churigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
41012028	toh	NA	sane encenke	ônin	koi upa	aléq	apai	gun-ngiya	cáteisan	'aja	öpyòh öp	quin	které	håfa na	camba	gado usdi	ti'itaani	pa un	hvilket	welches	welches	buor	ayìı	yagɔi	tɛ́lá	which	which	nalliat	naliat	bhaghé	honde	mikä	angı	cén	mávapa	wanjinyaku	jidii	himuwa	koja	melyik	ni	òle	maikantak	manakah yang	hvert	どれ	pă	qaysı	yamar	dihoki	어느	ɔ́ɔ̀	háányɛ́	ka'imma	kereanga	tyatityora	huɨdibɨ	awe	juu's	naanu	mâsa	cötlaja	tlaque	wat	liti	xoare	manamo	girni	juppɨc	yuh ka mawx	maygantaj	mayqantaq	care	irihe	guhtemuš	yiida	cuál	ma	tachiri	alin	rîrîkû	haýsy	hangisidir	qaysi	nào	ban	máacalmáac	哪 一	哪 一	jutipø
41012035	pakriban	nthakinha	apa kranane	o yô se	nongko'upa	nṓq	kuga	an-nga nula	ída	NA	sitih	com	čeho	håfa taimanu na	can uc'a	gadono	NA	pam	hvordan	wieso	wie	ŋmɩŋmɩn	dànìghǫ	yani	née	why	how	‌qanuqłutiŋ	qaillun	jen é yími kən	hono	kuinka	neçіn	conas	mba'ére piko	NA	deeginyąą	hintaqw	kako	hogyan	baka ni	aṅa	imapatak	apa sebabnya	hvernig	どうして	hyư̆m	qalayınsha	yaagaad	NA	왜	le yɛɛ	anyána	baramma	antekamma	tyara okantakara	na'amy	kala awe	vintso̱se'e	shiina	mati	quiene	para tlen	hoe	bwanji	aliyakereya	marã	gi	t́iiga	yuh ka mawx	ima	imaynanpitaq	cum	bate	mo	na	cómo	mbaerã	chonigá	bakit	n'ata	nädip	nasıl	qandaq	thể nào	lu tax	bix	為什麼	怎麼	ticøtoya
41012037	pakriban	nthakinhantama	kenken	o yô se	koi upa	nṓq	kuga	NA	ída	NA	aṅyih	d'on	jak	håfa taimanu na	cache'da	gadono	a'iqui	NA	hvordan	wie	woher	ŋmɩŋmɩn	dànì t'à	yani	née	how	NA	qanuqłuni	qaillun	nan	hono	kuinka	nasıl	cad	mba'éicha piko	wanyurrinku	nats'ahts'ą'	hin	kako	hogyan	baka ni	òle ebe	imawantak	bagaimana	hvernig	どうして	hyư̆m	qalayınsha	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	baramma	antekamma	tyara inkantakempara	nej co	NA	NA	baryeena	matib	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi rixpokotyawaka	jutsa̱p	yuh ka mawx	imanöpataj	imaynataq	cum	hehe	mo	na	cómo	mbaerã	'lacha	paano	n'ata	nähili	nasıl	NA	thể nào	naka	NA	怎	怎麼	jujche
41013004b	peu	nthakinha	punapi	NA	upa	ntrớu	kai	gun-ngiya	cábasan	tas	asuh	quin	jaké	håfa na	cache'da	gado	ti'itajni	NA	NA	was	welches	buor	ayìı	inge	ȩná	what	what	suna	ca	bhaghé	homo	mikä	ne	cén	mba'éichapa	wanjarrmal	NA	himu	kojim	mi	NA	gini	imawatak	NA	hvert	どんな	hơgĕt	qanday	yamar	choni	무엇입니까	ɔ́ɔ̀	yaátɛ́	ponapa	apa	tyatirikara	ti	inun	ti	liina	mâ-i	tli	tlaque	hoe	chotani	xoare	marãva'ea	klu	jup	yuh ka mawx	imanöpataj	imaynamá	care	c'igihe	mii	wiida	qué	mañɨ	churigá	ano	mbi	nähili	ne	qandaq	nào	luy	ba'ax	什麼	甚麼	ti'is
41014004	NA	iwunhangala	nguda	ônin	upa	nṓq	engkai	an-nga nula	cámesan	tas yuj	asuh	per què	čemu	håfa	cua' uc'a	gadono	a'ini een cɨn	NA	NA	wozu	wozu	bʋ̃ʋ	ayìıha	ingei	tɛ́lá	why	what	summan	ciin	jen é yími kən	koɗum	millaista	ne	cén fáth	maerã piko	wanyurrinku	jaghaii	hinoqw	čemu	mire	nama kebuah	gini	imapatak	NA	til hvers	なん	yua hơgĕt	nege	yuund	nhani	무엇	le yɛɛ	aátɛ́	apa	apa	antari gara	nej	inun	tya̱jxts	shiina	mâs	tli para	quenque	wat	chifukwa ninji	xoare maheta	maranuhũrame	klu chinanu	t́iiga	yuh ka mawx	imapäraj	imanasqataq	ce	iki	manne	ya	por qué	mbaerã	chonigá	bakit	kî	näme üçin	neden	neme	tại sao	lu	ba'axten	為什麼	為甚麼	ti'ajcuy
41014006	keupeue	iwunhangala	nguda	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	tas yuj	kūöyòh	per què	proč	håfa na	NA	gadono	a'ini een cɨn	pam	hvorfor	warum	warum	bʋnʋ ƴãw	ayìıha	inge dɛi	moo ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cén fáth	maerã piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hvað	なぜ	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	NA	nej co	wuah inun	tya̱jxse'e	shiina	tarexa	tlica	quenque	waarom	mumbvutiranji	xoanere hoka	maranuhũrame	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce-i	iki	manne	ya	por qué	mbaerã	NA	bakit	mbi	näme üçin	neden	neme	tại sao	lu tax	ba'axten	何必	為甚麼	ti'ajcuy
41014014	dipat	nthanhama	dija	nin	maana	nléq	apai	yina gun-gaya	jagoún	'ajtil	isuh	on	kde	månu na	caxcada	harv	a'uni	ble	hvor	wo	wo	nyɩnɛ	edı̨į̀	yago	tɛ́lá	where	where	sumiitpa	nani	NA	hondu	missä	neredä	cá	mávapa	wanjaku	nijin	haqam	kojoj	hol	dini	òle ebe	maikan	NA	hvar	どこ	pơpă	qa'ne	haana	hoki	NA	kuɛɛ	háányɛ́	ka'imma	keremae	tyarika	ma	hang awe	joma	waheena	mapa	cöne	canque	waar	kuti	aliyako	mome	ginaklu	ju̱t́	dee mawx	maygan	mayqan	unde	hehe	gos	wada	dónde	ma	koche	NA	NA	nirede	nerede	qeyerde	ở đâu	ana	tu'ux	哪裡	哪裡	jut
41016003	soe	ngunhalantama	nyen	wan	ime	noau	ise	ana-nga	cábasan	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataqui	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	NA	kia	kia	énê	homo	kuka	kіm	cé	mávapa	wanjungku	juu	hak	tko	kicsoda	sapa	ònye	pisik	bagaimana	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	sapa	inaimo	tyanirikaratyo	pɨn	hie	pa̱nts	shiina	tari-e	öquenu	ajqueya	NA	ndani	xalaite	ma'g̃a	katmakla	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	n'ûû	kim	kim	kim	ai	ku	máax	誰	誰	i'is
42001018	pakriban	nthakinhantama	sapunapi	oh yôh se	koi upa	nṓq	kai	ngu-yinmiya	ída	tas	sitih	com	jak	taimanu	cache'da	gadono	a'ini	sut	NA	wie	woran	ŋmɩŋmɩn	ayìı	yani	née	how	how	qanuġlugu	qaillun	nan	hono	mistä	nedän	conas	mba'éicha piko	wanjarrku	nats'ąą	hin	čemu	miből	baka ni	òle	imasatak	bagaimana	af hverju	どうして	hyư̆m	qayaqtan	herhen	nhani	어떻게	vɛ̀ɛ̀	aátɛ́	kadi ponapa	antekamma	tyara nonkantakempara	nej	kala awe	vintso̱s	naanu	mati	tli	quenicatza	NA	chiyani	aliyakeriya	marã	gi	jutsa̱p	yuh ka mawx	imanöpataj	imaynatataq	ce	n'iki	mo	na	cómo	mañɨ	churigá	paano	n'ata	nähili	nasıl	nemidin	làm sao	nan	bix	如何	怎麼	jutz nømø
42001034	pakriban	nthakinhantama	asapunapike	oh yôh se	koi upa	nṓq	kuga	gu-yinmiya	ída	chajtl	sitih	com	jak	taimanu	cache'	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn na	dànì	yani	née	how	how	qanuġluni	qaillun-mi	nan	hono	miten	nesoy	conas	mba'éicha piko	wanjarrku	nats'ahts'ą'	hin	kako	hogyan	baka ni	aṅa	imasatak	bagaimana	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	kadi ponapa	antekamma	tyarika	nej	kala awe	vintso̱s	indyeena	matis	quiene	quenicatza	hoe	bwanji	aliyakere	ma	gi rixpokotanu	jutsa̱p	yuh ka mawx	imanöpataj	imaynataq	cum	bite	mo	na	cómo	mañɨ	'lacha	paano	ata	nähili	nasıl	qandaqmu	làm sao	naka	bix	怎麼	怎	jutznøm
42001066	keupeue	nthakinhama	kenken	nzu	upa	nṓq	kai	an-guyinmiya	cáteibeí funasan	tas	tösitih	què	co	håfa	caba	gado usdesdi	ti'itaqui	beth	hvad	was	was	ŋmɩŋmɩn	ayìı	inge	nɛ́nná	what	what	qanutun	cauqatarta	bhaghé ekpak	koɗum	mikähän	kіm	cad	mba'e	wanjarrmalkuda	jidii	hin	što	mi	namaka	gini	imasik	apa	hvað	どんな	hyư̆m	kim	yuu	nhani	어떤	yɛɛ	aátɛ́	apa	apai	tyarikatyo inkantanakempara	ti	inun	vintso̱	indyeena	tare-e	öquenu	tlaque	wat	wotani	xoanahalanite	NA	gi	t́i	yuh ka mawx	ima	imaraq	ce	ki	mii	ɓee	qué	mañɨ	tachiri	ano	ûû	kim	ne	qandaq	sao	nu	máax	怎樣	怎樣的	ti
42002048	keupeue	iwunhangama	apa	nzu ti	nongko'upa	nṓq	ngkai	ny-yinmiyana	cáme	tas	pò yòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvordan	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cad chuige	mba'ére piko	wanyurrinku	deeni'in	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	どうして	hyư̆m	nege	yuund	nhani	무슨	le yɛɛ	anyíatɛ́	arapa	angngapa	antari gara	nej co	wuah inun	tya̱jxts	shiina	tarexats	tlica	quenque	waarom	wachitiranji	xoana hoka	maranameuhũ	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqamá	de ce	iki catumye	mo	tah ya	por qué	mbaerã	chonigá	bakit	mbi n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
42002049	keupeue	iwukala	napi awinan	nzu ti	nongko'upa	ntrớu	engkai	an-nga nula	cági uágu	tas yuj	sitih	per què	proč	håfa na	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	wie	was	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	qanuq	ciin	jen	koɗum waɗi	mitä	neçіn	cad chuige	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hvers vegna	どうして	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	angngapa	tyara okantakara	na'amy	wuah inun	tya̱jxs	lwashiina	tarexa	tlica	quenque	NA	bwanji	xoana hoka	maraname	klu chinanu	t́iigas	NA	imanirtaj	imanasqataq	de ce	igiki	manne	ya	por qué	mbaerã	chonigá	bakit	mbi	näme üçin	ne	neme	sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
42003007	soe	ngunhalama	nyen	wan	ime	NA	ise	ana-nga	ca	mach	achīö	qui	NA	håyi	caxca	gago	a'ataani	pwy	hvem	wer	wer	ãa	dànıt'à	aa	nóo	who	who	NA	kia	énê	homo	kuka	kіm	cé	máva piko	wanjungku	NA	hak	tko	ki	sapa	ònye	pitak	NA	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	sapa	inai	tyanimpatyora	pɨn	hie	NA	lwashiina	tari-e	öquenu	ajqueya	wie	ndani	xala	maraname	katu	i̱	mawx	pitaj	pitaq	cine	nde	gii	ɓa	quién	NA	chieri	sino	n'ûû	NA	kim	qandaq	ai	ku	máax	誰	誰	ti'ajcuy
42003010	peue	nthakinhantama	punapike	nzu	upa	ntrớu	kai	nyiburr-yinmiya	cáteiti	tas	sitih	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts'ı̨ı̨	kijɛ inge	nɛ́nná	what	what	qanuġniaqpisa	qaillun	nan	koɗum	mitä	ne	cad	mba'e piko	wanjarrmalda	deegwehee'yaa	hinhtotini	što	mit	nama	gini	imatak	apa yang	hvað	何	hơgĕt	ne	yuu	nhani	어떻게	yɛɛ	anyána	ponapa	apa	tyaratyo nonkantaigakempara	ti	inun	tise'e	naanu	tare-e	tli	tlaque	wat	chiyani	xoare	marã	klu	t́i	yuh ka mawx	imatataj	imatataq	ce	dute	maid	ya	qué	mbae	cho	ano	n'ata	näme	ne	qandaq	gì	lan	ba'ax	怎麼	甚麼	jujche
42003012	peue	nthakinha	punapike	nzu	upa	ntrớu	kai	nyiburr-yinmiya	ca	tas	sitih	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts'ele	inge	nɛ́nná	what	what	qanuġniaqpisa	qaillun-mi	nan	koɗum	mitä	ne	cad	mba'e piko	wanjarrmalkuda	deegwehee'yaa	hinhtotini	što	mit	nama	gini	imatak	bagaimana	hvað	何	hơgĕt	ne	yaah	nhani	무엇을	yɛɛ	anyána	ponapa	apa	tyaratyo nonkantaigakempara	ti	inun	tise'e	khuryeena	tare-e	tli	tlaque	hoe	chiyani	xoare	marã	klu	t́i	yuh ka mawx	imatataj	imatataq	ce	dute	maid	ya	qué	mbae	churigá	ano	n'ata	näme	ne	qandaq	NA	lu	ba'ax	怎麼	甚麼	jujche
42003014b	peu	nthakinhala	punapike	nzu	upa	ntrớu	kai	nyiburr-yinmiya	cági	tas	sitih	què	co	NA	cuaxca	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı dàts'ele	inge	nɛ́nná	what	what	qanuġniaġmivisa	qaillun	nan	koɗum	mitä	ne	cad	mba'e	wanjarrmalda	deegwehee'yaa	hinhtotini	što	mi	nama	gini	imatak	NA	hvað	何	hơgĕt	ne	yaah	nhani	무엇을	yɛɛ	anyána	ponapa	apa	tyaratyo nonkantaigakempara	ti	inun	tise'e	NA	tare-e	tli	NA	hoe	chiyani	xoare	marã	klu	t́i	yuh ka mawx	imatataj	NA	ce	dute	maid	ya	qué	mbae	churigá	ano	n'ata	näme	ne	qandaq	gì	NA	ba'ax	怎麼辦	甚麼	jujche
42004036	NA	NA	NA	nzu	NA	ntrớu	kuga	gun-nga	cáteisán	tas	tösitih	quina	co	håfa na	cua'	gado usdi	ti'itaani	beth	hvilken	was für	was für	bʋ̃ʋ	NA	inge	moo ȩná	what kind of	what kind of	sunauna	cauga	bhaghé	ko	mitä	nedіr	cad é mar	mba'eichagua	wanyu	nats'ahts'ą'	NA	kakve	milyen	nama	gini	ima	apakah yang	hvaða	なんと	hơgĕt	ne	yuun	yaki	어떻게	yɛɛ	NA	NA	NA	tyarikatyo ikantaka	ti	NA	ti	shiina	tarebe	tli	tlaque	NA	wotani	xoarehare	maraname	klu	t́iapaap	yuh ka mawx	ima	imataq	ce	ki	makkár	yee	qué clase de	NA	churigá	ano	bûrîkû	nähili	nasıl	nemidegen	gì	NA	ba'ax	怎麼	怎麼	tiyø
42005021a	soe	ngunhama	nyen	wan	ime	noau	ise	ana-nga	cáteisan	'aj	achīö	qui	jak	håyi	NA	gago	a'ataqui	pwy	hvad	wer	wer	ãa	amìı	aai	nóo	who	who	kiñauna	kina	bhaghé énê	homo	mikä	kіmdіr	cé	máva piko	wanju	juu	haknihqe	tko	kicsoda	sapa	ònye	pisik	siapa	hver	何者	hlơi	kim	hen	nani	누군데	yɛɛ	aányɛ́	sapa	inai	tyanimpatyora	NA	hie	pa̱nts	shiina	tariba	öqueniji	ajqueya	NA	ndani	xala	maranuhũ	gi	i̱apaap	mawx	pitaj	pitaq	cine	nde	gii	ɓa	quién	NA	chieri	sino	NA	kim	kim	kimdur	ai	kan	máax	誰	誰	ipø
42005022	pakon	iwunhangala	napi awinanipun	nzu ti	nongko'upa	nṓq	kai	an-nga nula	ca uágu	tas yuj	asuh	què	NA	håfa na	cua' uc'a	gado	a'ini	pam	hvorfor	was	was	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	koɗum waɗi	mitä	ne	cad chuige	mba'érepa	wanyurrinku	jaghaii	hihta	zašto	miért	nama kebuah	gini	imapatak	apa sebabnya	hvað	何	yua hơgĕt	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara pikantaigakara	ti	wuah inun	tya̱jxts	naanu	tare	tli	para tlen	wat	chiyani	xoanere hoka	maranameuhũ	NA	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	ibiki	maid	tah ya	qué	mbaerã	chonigá	bakit	mbi n'ûntû	näme üçin	neler	neme uchun	tại sao	lu tax	ba'ax	為什麼	為甚麼	ti'ajcuy
42006002	pakon	iwunhangala	napi awinan	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cásan uágu	tas yuj	pò yòh	per què	co	håfa na	cua' uc'a	gadono	a'ini	pam	hvorfor	warum	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cad chuige	mba'ére piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	NA	hví	なぜ	hyư̆m	nege	yuund	nhani	어째서	le yɛɛ	anyíatɛ́	NA	angngapa	tyarikatyo pikantaigakara	ti	wuah inun	tya̱jxts	NA	tarexa	tlica	quenque	NA	muchitiranji	xoana hoka	NA	klu chinanu	t́iiga	patix	imanirtaj	imanasqataq	de ce	igiki gitumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
