verse	label	cluster	neighbor	sil_width	QW	context
42007031b	NA	3	2	0.103831133549659	what	" What are they like ?
41006002b	NA	3	5	0.102860327463922	what	What’s this wisdom he’s been given ? 
46015029b	NA	3	4	0.100628916139226	what	Otherwise , what are those who are getting baptized for the dead doing ? 
40019018	thing.selection.multiple.pl	3	5	0.0894971031520894	which ones	The man said , " Which ones ? " Then Jesus said , " Don’t commit murder . Don’t commit adultery . Don’t steal . Don’t give false testimony .
40022036	thing.selection.multiple.sg	3	1	0.0833719085341836	what	" Teacher , what is the greatest commandment in the Law ? "
40017025a	thing.think	3	5	0.0682218853098483	what	" Yes , " he said . But when they came into the house , Jesus spoke to Peter first . " What do you think , Simon ? 
42008030	NA	3	2	0.0681485842240529	what	Jesus asked him , " What is your name ? " " Legion , " he replied , because many demons had entered him .
60004018	NA	3	5	0.0521240673632837	what	If the righteous are barely rescued , what will happen to the godless and sinful ?
40018012	thing.think	3	5	0.050926252822954	what	What do you think ? If someone had one hundred sheep and one of them wandered off , wouldn’t he leave the ninety-nine on the hillsides and go in search for the one that wandered off ?
44007049a	thing.kind	3	5	0.0501889569252388	what kind of	Heaven is my throne , and the earth is my footstool . ‘ What kind of house will you build for me , ’ says the Lord , 
43010032	thing.selection.multiple.sg	3	2	0.0483220247731585	which	Jesus responded , " I have shown you many good works from the Father . For which of those works do you stone me ? "
41012028	thing.selection.multiple.sg	3	2	0.0451433773272012	which	One of the legal experts heard their dispute and saw how well Jesus answered them . He came over and asked him , " Which commandment is the most important of all ? "
44010021	NA	3	4	0.0414148712764126	why	So Peter went downstairs and told them , " I’m the one you are looking for . Why have you come ? "
42016007	quantity.mass	5	5	0.0241395915747205	how much	Then the manager said to another , ‘ How much do you owe ? ’ He said , ‘ One thousand bushels of wheat . ’ He said , ‘ Take your contract and write eight hundred . ’
44022016	thing.patient	3	4	0.0214233118346925	what	What are you waiting for ? Get up , be baptized , and wash away your sins as you call on his name . ’
42016005	quantity.mass	5	5	0.00900251149350562	how much	“ One by one , the manager sent for each person who owed his master money . He said to the first , ‘ How much do you owe my master ? ’
48003019	NA	3	4	-0.0905883834607061	why	So why was the Law given ? It was added because of offenses , until the descendant would come to whom the promise had been made . It was put in place through angels by the hand of a mediator .
41011005	thing.patient	3	4	-0.037459064655854	what	Some people standing around said to them , " What are you doing , untying the colt ? "
42006002	intention	4	5	0.626346858552947	why	Some Pharisees said , " Why are you breaking the Sabbath law ? "
42018019	intention	4	5	0.617298174425155	why	Jesus replied , " Why do you call me good ? No one is good except the one God .
51002020	intention	4	5	0.616604750088355	why	If you died with Christ to the way the world thinks and acts , why do you submit to rules and regulations as though you were living in the world ?
40020006	intention	4	5	0.614907178455107	why	Around five in the afternoon he went and found others standing around , and he said to them , ‘ Why are you just standing around here doing nothing all day long ? ’
42024005	intention	4	5	0.612067802161337	why	The women were frightened and bowed their faces toward the ground , but the men said to them , " Why do you look for the living among the dead ?
44009004	intention	4	5	0.611200118494846	why	He fell to the ground and heard a voice asking him , " Saul , Saul , why are you harassing me ? "
40009004	intention	4	5	0.610680992210952	why	But Jesus knew what they were thinking and said , " Why do you fill your minds with evil things ?
40022018	intention	4	5	0.606842396966704	why	Knowing their evil motives , Jesus replied , " Why do you test me , you hypocrites ?
42019023	intention	4	5	0.605450752760019	why	Why then didn’t you put my money in the bank ? Then when I arrived , at least I could have gotten it back with interest . ’
45009020c	intention	4	5	0.604702143719319	why	" Why did you make me like this ? "
44004025a	NA	4	5	0.602020153291731	why	You are the one who spoke by the Holy Spirit through our ancestor David , your servant : Why did the Gentiles rage , 
40027046	NA	4	5	0.600425381897564	why	At about three Jesus cried out with a loud shout , " Eli , Eli , lama sabachthani , " which means , " My God , my God , why have you left me ? "
41007005	NA	4	5	0.597776898371921	why	So the Pharisees and legal experts asked Jesus , " Why are your disciples not living according to the rules handed down by the elders but instead eat food with ritually unclean hands ? "
41011031b	NA	4	5	0.59643713156022	why	" If we say , ‘ It’s of heavenly origin , ’ he’ll say , ‘ Then why didn’t you believe him ? ’
44003012b	NA	4	5	0.594790003929655	why	Why are you staring at us as if we made him walk by our own power or piety ?
43007019	NA	4	5	0.594534192112383	why	Didn’t Moses give you the Law ? Yet none of you keep the Law . Why do you want to kill me ? "
40013010	NA	4	5	0.594470270933435	why	Jesus’ disciples came and said to him , " Why do you use parables when you speak to the crowds ? "
43008046b	NA	4	5	0.593690199432399	why	Since I speak the truth , why don’t you believe me ?
41014006	NA	4	3	0.593391680129678	why	Jesus said , " Leave her alone . Why do you make trouble for her ? She has done a good thing for me .
40015002	NA	4	5	0.592574758083516	why	" Why are your disciples breaking the elders’ rules handed down to us ? They don’t ritually purify their hands by washing before they eat . "
41002008	NA	4	5	0.592500087926279	why	Jesus immediately recognized what they were discussing , and he said to them , " Why do you fill your minds with these questions ?
40016008	NA	4	5	0.590559503322657	why	Jesus knew what they were discussing and said , " You people of weak faith ! Why are you discussing among yourselves the fact that you don’t have any bread ?
40019017	NA	4	5	0.590293087816058	why	Jesus said , " Why do you ask me about what is good ? There’s only one who is good . If you want to enter eternal life , keep the commandments . "
42024038a	NA	4	3	0.582849777023963	why	He said to them , " Why are you startled ? 
42012057	NA	4	5	0.582549905871757	why	And why don’t you judge for yourselves what is right ?
44003012a	NA	4	5	0.58089977342241	why	Seeing this , Peter addressed the people : “ You Israelites , why are you amazed at this ? 
42019033	NA	4	3	0.580197840723358	why	As they were untying the colt , its owners said to them , " Why are you untying the colt ? "
40015003	NA	4	5	0.575170568125663	why	Jesus replied , " Why do you break the command of God by keeping the rules handed down to you ?
43013037	NA	4	5	0.574049626608859	why	Peter asked , " Lord , why can’t I follow you now ? I’ll give up my life for you . "
44007026	NA	4	5	0.573606061354629	why	The next day he came upon some Israelites who were caught up in an argument . He tried to make peace between them by saying , ‘ You are brothers ! Why are you harming each other ? ’
42006046	NA	4	5	0.573210559131836	why	" Why do you call me ‘ Lord , Lord ’ and don’t do what I say ?
40008026	NA	4	5	0.572762880086406	why	He said to them , " Why are you afraid , you people of weak faith ? " Then he got up and gave orders to the winds and the lake , and there was a great calm .
40009014	NA	4	5	0.572010216829115	why	At that time John’s disciples came and asked Jesus , " Why do we and the Pharisees frequently fast , but your disciples never fast ? "
43007045	NA	4	5	0.564943827977645	why	The guards returned to the chief priests and Pharisees , who asked , " Why didn’t you bring him ? "
41008012	NA	4	5	0.559957297932885	why	With an impatient sigh , Jesus said , " Why does this generation look for a sign ? I assure you that no sign will be given to it . "
40014031	NA	4	5	0.559342350673658	why	Jesus immediately reached out and grabbed him , saying , " You man of weak faith ! Why did you begin to have doubts ? "
43012005	NA	4	5	0.557750099576389	why	" This perfume was worth a year’s wages ! Why wasn’t it sold and the money given to the poor ? " (
43007023	NA	4	5	0.557054006114663	why	If a man can be circumcised on the Sabbath without breaking Moses’ Law , why are you angry with me because I made an entire man well on the Sabbath ?
43008043	NA	4	5	0.556645417528531	why	Why don’t you understand what I’m saying ? It’s because you can’t really hear my words .
43018023	NA	4	3	0.555797633066622	why	Jesus replied , " If I speak wrongly , testify about what was wrong . But if I speak correctly , why do you strike me ? "
44026008	NA	4	5	0.555533954718965	why	Why is it inconceivable to you that God raises the dead ?
42022046	NA	4	5	0.54946615130766	why	He said to them , " Why are you sleeping ? Get up and pray so that you won’t give in to temptation . "
42024038b	NA	4	5	0.543959298550671	why	Why are doubts arising in your hearts ?
45014010b	NA	4	5	0.541022362630424	why	Or why do you look down on your brother or sister ? We all will stand in front of the judgment seat of God .
42019031	NA	4	5	0.540920683372107	why	If someone asks , ‘ Why are you untying it ? ’ just say , ‘ Its master needs it . ’ "
46010030	NA	4	5	0.539360766247929	why	If I participate with gratitude , why should I be blamed for food I thank God for ?
40019007	NA	4	5	0.538508291079471	why	The Pharisees said to him , " Then why did Moses command us to give a divorce certificate and divorce her ? "
40017010	NA	4	5	0.534331929828898	why	The disciples asked , " Then why do the legal experts say that Elijah must first come ? "
42002049	NA	4	5	0.532819290054272	why	Jesus replied , " Why were you looking for me ? Didn’t you know that it was necessary for me to be in my Father’s house ? "
40017019	NA	4	5	0.530212206689466	why	Then the disciples came to Jesus in private and said , " Why couldn’t we throw the demon out ? "
66017007	NA	4	5	0.529804851800602	why	Then the angel said to me , " Why are you amazed ? I will tell you the mystery of the woman and the seven-headed , ten-horned beast that carries her .
47011011	NA	4	5	0.527815551324668	why	Why ? Is it because I don’t love you ? God knows that I do !
43018021	NA	4	3	0.527181183600337	why	Why ask me ? Ask those who heard what I told them . They know what I said . "
42002048	NA	4	5	0.52571663958231	why	When his parents saw him , they were shocked . His mother said , " Child , why have you treated us like this ? Listen ! Your father and I have been worried . We’ve been looking for you ! "
43001025	NA	4	5	0.523376110327461	why	asked , " Why do you baptize if you aren’t the Christ , nor Elijah , nor the prophet ? "
41005039a	NA	4	3	0.521317005738775	what	He went in and said to them , " What’s all this commotion 
42012026	NA	4	5	0.512355912278612	why	If you can’t do such a small thing , why worry about the rest ?
46004007c	NA	4	5	0.512322583094572	why	And if you received it , then why are you bragging as if you didn’t receive it ?
43009027	NA	4	5	0.512052649578095	why	He replied , " I already told you , and you didn’t listen . Why do you want to hear it again ? Do you want to become his disciples too ? "
43020015a	NA	4	3	0.508302544193792	why	Jesus said to her , " Woman , why are you crying ? 
45003007b	NA	4	5	0.507753867627678	why	why am I still judged as a sinner ?
46010029	NA	4	5	0.507636096183236	why	Now when I say " conscience " I don’t mean yours but the other person’s . Why should my freedom be judged by someone else’s conscience ?
44015010	NA	4	5	0.503227294724817	why	Why then are you now challenging God by placing a burden on the shoulders of these disciples that neither we nor our ancestors could bear ?
44001011	NA	4	3	0.499171773503156	why	They said , " Galileans , why are you standing here , looking toward heaven ? This Jesus , who was taken up from you into heaven , will come in the same way that you saw him go into heaven . "
45014010a	NA	4	5	0.49910718214952	why	But why do you judge your brother or sister ? 
40006028	NA	4	5	0.490879686420483	why	And why do you worry about clothes ? Notice how the lilies in the field grow . They don’t wear themselves out with work , and they don’t spin cloth .
45009019a	NA	4	5	0.485530028664249	why	So you are going to say to me , " Then why does he still blame people ? 
42006041	NA	4	5	0.48491289186241	why	Why do you see the splinter in your brother’s or sister’s eye but don’t notice the log in your own eye ?
45009032	NA	4	5	0.479448931281725	why	Why ? It’s because they didn’t go for it by faith but they went for it as if it could be reached by doing something . They have tripped over a stumbling block .
41011003	NA	4	3	0.474422569823423	why	If anyone says to you , ‘ Why are you doing this ? ’ say , ‘ Its master needs it , and he will send it back right away . ’ "
46015030b	NA	4	5	0.473130170355639	why	Why are we in danger all day every day ?
62003012	NA	4	5	0.468442113394013	why	Don’t behave like Cain , who belonged to the evil one and murdered his brother . And why did he kill him ? He killed him because his own works were evil , but the works of his brother were righteous .
43004027b	NA	4	3	0.467498599339878	why	" Why are you talking with her ? "
44014015	NA	4	3	0.462967168731629	what	" People , what are you doing ? We are humans too , just like you ! We are proclaiming the good news to you : turn to the living God and away from such worthless things . He made the heaven , the earth , the sea , and everything in them .
40009011	NA	4	5	0.462188991405156	why	But when the Pharisees saw this , they said to his disciples , " Why does your teacher eat with tax collectors and sinners ? "
44005003	NA	4	5	0.459289802689857	how	Peter asked , " Ananias , how is it that Satan has influenced you to lie to the Holy Spirit by withholding some of the proceeds from the sale of your land ?
43010020	NA	4	3	0.452117682218757	why	Many of them said , " He has a demon and has lost his mind . Why listen to him ? "
46015029c	NA	4	3	0.421592011644724	why	If the dead aren’t raised , then why are they being baptized for them ?
42005022	NA	4	3	0.391467876753807	why	Jesus recognized what they were discussing and responded , " Why do you fill your minds with these questions ?
44005009	NA	4	5	0.371980281538622	how	He replied , " How could you scheme with each other to challenge the Lord’s Spirit ? Look ! The feet of those who buried your husband are at the door . They will carry you out too . "
44005004	NA	4	5	0.360753759030356	what	Wasn’t that property yours to keep ? After you sold it , wasn’t the money yours to do with whatever you wanted ? What made you think of such a thing ? You haven’t lied to other people but to God ! "
41002007a	NA	4	5	0.338489953814615	why	" Why does he speak this way ? He’s insulting God . 
44010029	NA	4	3	0.301727689853229	why	For this reason , when you sent for me , I came without objection . I want to know , then , why you sent for me . "
41014004	NA	4	3	0.29203127099942	why	Some grew angry . They said to each other , " Why waste the perfume ?
43014022	NA	4	5	0.248591931868587	why	Judas ( not Judas Iscariot ) asked , " Lord , why are you about to reveal yourself to us and not to the world ? "
42012056	NA	4	5	0.241457344908593	how	Hypocrites ! You know how to interpret conditions on earth and in the sky . How is it that you don’t know how to interpret the present time ?
44021013a	NA	4	3	0.221698078752169	why	Paul replied , " Why are you doing this ? 
40016011	NA	4	5	0.0651361661141452	~	Don’t you know that I wasn’t talking about bread ? But be on your guard for the yeast of the Pharisees and Sadducees . "
48004009a	NA	4	5	0.0334661661436368	how	But now , after knowing God ( or rather , being known by God ) , how can you turn back again to the weak and worthless world system ? 
45010014c	NA	5	3	0.540148548380297	how	And how can they hear without a preacher ?
54003005	NA	5	4	0.539055276478758	how	because if they don’t know how to manage their own household , how can they take care of God’s church ?
45010014a	NA	5	3	0.536285869644258	how	So how can they call on someone they don’t have faith in ? 
45010014b	NA	5	3	0.523066911158968	how	And how can they have faith in someone they haven’t heard of ? 
42006042	NA	5	3	0.522939116312175	how	How can you say to your brother or sister , ‘ Brother , Sister , let me take the splinter out of your eye , ’ when you don’t see the log in your own eye ? You deceive yourselves ! First take the log out of your eye , and then you will see clearly to take the splinter out of your brother’s or sister’s eye .
43005044	NA	5	3	0.521684784511706	how	How can you believe when you receive praise from each other but don’t seek the praise that comes from the only God ?
41004013	manner	5	3	0.520485587694876	how	" Don’t you understand this parable ? Then how will you understand all the parables ?
43006052	NA	5	3	0.512373363794418	how	Then the Jews debated among themselves , asking , " How can this man give us his flesh to eat ? "
43003012	NA	5	3	0.511313803631299	how	If I have told you about earthly things and you don’t believe , how will you believe if I tell you about heavenly things ?
43014005	NA	5	3	0.504705614328709	how	Thomas asked , " Lord , we don’t know where you are going . How can we know the way ? "
40026054	NA	5	3	0.503587399123257	how	But if I did that , how would the scriptures be fulfilled that say this must happen ? "
41003023	NA	5	3	0.50220298965502	how	When Jesus called them together he spoke to them in a parable : " How can Satan throw Satan out ?
40023033	NA	5	4	0.501105954432742	how	You snakes ! You children of snakes ! How will you be able to escape the judgment of hell ?
43005047	NA	5	3	0.500826402476723	how	If you don’t believe the writings of Moses , how will you believe my words ? "
43003004	NA	5	3	0.490903113802725	how	Nicodemus asked , " How is it possible for an adult to be born ? It’s impossible to enter the mother’s womb for a second time and be born , isn’t it ? "
43003009	NA	5	3	0.489965366731874	how	Nicodemus said , " How are these things possible ? "
46015035a	manner	5	3	0.480706080283637	how	But someone will say , " How are the dead raised ? 
42001034	NA	5	3	0.480479867734894	how	Then Mary said to the angel , " How will this happen since I haven’t had sexual relations with a man ? "
42020044	NA	5	4	0.477624131798122	how	Since David calls him ‘ Lord , ’ how can he be David’s son ? "
43009010	manner	5	3	0.475904588497195	how	So they asked him , " How are you now able to see ? "
44008031	NA	5	3	0.472936667924464	how	The man replied , " Without someone to guide me , how could I ? " Then he invited Philip to climb up and sit with him .
40021020	manner	5	4	0.469211648306624	how	When the disciples saw it , they were amazed . " How did the fig tree dry up so fast ? " they asked .
43009026b	manner	5	3	0.462331611424864	how	How did he heal your eyes ? "
45006002	NA	5	4	0.461914956612938	how	Absolutely not ! All of us died to sin . How can we still live in it ?
45010015	NA	5	3	0.456402768834993	how	And how can they preach unless they are sent ? As it is written , How beautiful are the feet of those who announce the good news .
46014007	NA	5	3	0.446797099397433	how	Likewise , things that aren’t alive like a harp or a lyre can make a sound , but if there aren’t different notes in the sounds they make , how will the tune from the harp or the lyre be recognized ?
43009019	NA	5	4	0.438949461731959	how	The Jewish leaders asked them , " Is this your son ? Are you saying he was born blind ? How can he now see ? "
58002003	NA	5	3	0.438626795779312	how	how will we escape if we ignore such a great salvation ? It was first announced through the Lord , and then it was confirmed by those who heard him .
41012037	NA	5	4	0.420692378108769	how	David himself calls him ‘ Lord , ’ so how can he be David’s son ? " The large crowd listened to him with delight .
44002008	NA	5	4	0.401246378724496	how	How then can each of us hear them speaking in our native language ?
43007015	NA	5	1	0.394841609546417	how	Astonished , the Jewish leaders asked , " He’s never been taught ! How has he mastered the Law ? "
40022012	NA	5	4	0.391470249444309	how	He said to him , ‘ Friend , how did you get in here without wedding clothes ? ’ But he was speechless .
46014009	NA	5	2	0.387198049842976	how	It’s the same way with you : If you don’t use language that is easy to understand when you speak in a tongue , then how will anyone understand what is said ?
42001018	NA	5	3	0.351206253674253	how	Zechariah said to the angel , " How can I be sure of this ? My wife and I are very old . "
43006042	manner.statement	5	4	0.348942103007583	how	They asked , " Isn’t this Jesus , Joseph’s son , whose mother and father we know ? How can he now say , ‘ I have come down from heaven ’ ? "
43004009	manner.statement	5	4	0.269729414616466	why	The Samaritan woman asked , " Why do you , a Jewish man , ask for something to drink from me , a Samaritan woman ? " ( Jews and Samaritans didn’t associate with each other . )
43012034a	manner.statement	5	4	0.263998963391978	how	The crowd responded , " We have heard from the Law that the Christ remains forever . How can you say that the Human One must be lifted up ? 
42020041	manner.statement	5	4	0.237909184025389	why	Jesus said to them , " Why do they say that the Christ is David’s son ?
41012035	manner.statement	5	4	0.226850121234057	why	While Jesus was teaching in the temple , he said , " Why do the legal experts say that the Christ is David’s son ?
46012017b	NA	5	1	0.174849145223697	what	And if the whole body were an ear , what would happen to the sense of smell ?
43008033	manner.statement	5	4	0.152420982451009	how	They responded , " We are Abraham’s children ; we’ve never been anyone’s slaves . How can you say that we will be set free ? "
43001048	NA	5	1	0.141506319889598	how	Nathanael asked him , " How do you know me ? " Jesus answered , " Before Philip called you , I saw you under the fig tree . "
46012017a	NA	5	1	0.137301341834676	what	If the whole body were an eye , what would happen to the hearing ? 
46015012	manner.statement	5	4	0.133890697148747	how	So if the message that is preached says that Christ has been raised from the dead , then how can some of you say , " There’s no resurrection of the dead " ?
43014009	manner.statement	5	4	0.131854352511796	how	Jesus replied , “ Don’t you know me , Philip , even after I have been with you all this time ? Whoever has seen me has seen the Father . How can you say , ‘ Show us the Father ’ ?
42010026b	NA	5	3	0.103284639006211	how	How do you interpret it ? "
60004017	NA	5	3	0.0871660486163544	what	because it’s time for judgment to begin with God’s own household . But if judgment starts with us , what will happen to those who refuse to believe God’s good news ?
40022043	manner.statement	5	4	0.0566971380869991	how	He said , " Then how is it that David , inspired by the Holy Spirit , called him Lord when he said ,
48002014	manner.statement	5	4	0.0363109140278522	how	But when I saw that they weren’t acting consistently with the truth of the gospel , I said to Cephas in front of everyone , " If you , though you’re a Jew , live like a Gentile and not like a Jew , how can you require the Gentiles to live like Jews ? "
40015034	quantity.count	5	3	0.0122193774560676	how much	Jesus said , " How much bread do you have ? " They responded , " Seven loaves and a few fish . "
41008020	quantity.count	5	6	0.00983190230445319	how many	" And when I broke seven loaves of bread for those four thousand people , how many baskets full of leftovers did you gather ? " They answered , " Seven . "
41009050	NA	5	3	0.00931107588155677	how	Salt is good ; but if salt loses its saltiness , how will it become salty again ? Maintain salt among yourselves and keep peace with each other . "
40018021	quantity.frequency	5	6	0.00543546196461342	how many times	Then Peter said to Jesus , " Lord , how many times should I forgive my brother or sister who sins against me ? Should I forgive as many as seven times ? "
46015035b	NA	5	3	-0.011401342501827	what kind of	What kind of body will they have when they come back ? "
41009012	manner.statement	5	4	-0.00973769392435786	why	He answered , " Elijah does come first to restore all things . Why was it written that the Human One would suffer many things and be rejected ?
43006062	NA	5	3	-0.00148617474135193	~	What if you were to see the Human One going up where he was before ?
40025039	time.general.past	6	1	0.477686433507522	when	When did we see you sick or in prison and visit you ? ’
40025038	time.general.past	6	1	0.463050239437966	when	When did we see you as a stranger and welcome you , or naked and give you clothes to wear ?
40025037	time.general.past	6	2	0.458413544775502	when	“ Then those who are righteous will reply to him , ‘ Lord , when did we see you hungry and feed you , or thirsty and give you a drink ?
42021007a	time.general.future	6	1	0.429094975744342	when	They asked him , " Teacher , when will these things happen ? 
43006025	time.selection	6	5	0.419421703285635	when	When they found him on the other side of the lake , they asked him , " Rabbi , when did you get here ? "
42017020	time.general.future	6	3	0.415462360893505	when	Pharisees asked Jesus when God’s kingdom was coming . He replied , " God’s kingdom isn’t coming with signs that are easily noticed .
66006010a	duration.future	6	5	0.291752700935988	how long	They cried out with a loud voice , " Holy and true Master , how long will you wait before you pass judgment ? 
41009019b	duration.future	6	3	0.242181940128437	how long	How long will I put up with you ? Bring him to me . "
42009041a	duration.future	6	5	0.240042334712159	how long	Jesus answered , " You faithless and crooked generation , how long will I be with you 
43010024	duration.future	6	5	0.236430562119935	how long	The Jewish opposition circled around him and asked , " How long will you test our patience ? If you are the Christ , tell us plainly . "
45004010	NA	6	5	0.171502835817416	how	So how was it credited ? When he was circumcised , or when he wasn’t circumcised ? In fact , it was credited while he still wasn’t circumcised , not after he was circumcised .
41009021	duration.past	6	5	0.170365999952752	how long	Jesus asked his father , " How long has this been going on ? " He said , " Since he was a child .
